SEQN,Gender,Age(year),Race,Served_army,Country_of_birth,Length_time_US,Education(adults),Marital_status,Pregnancy_status,People_in_Household,Income_poverty_num,Income_poverty,Races_simplify
130475.0,Female,55.0,Non-Hispanic White,No,US,,College graduate,Married/Living with partner,,2.0,5.0,High,White
130476.0,Female,30.0,Non-Hispanic White,No,US,,Some college,Married/Living with partner,Cannot ascertain,4.0,2.11,Middle,White
130477.0,Male,50.0,Non-Hispanic White,No,US,,College graduate,Married/Living with partner,,5.0,5.0,High,White
130478.0,Female,69.0,Non-Hispanic White,No,US,,College graduate,Married/Living with partner,,2.0,,High,White
130479.0,Male,7.0,Non-Hispanic Black,,US,,,,,3.0,0.77,Low,Back-Hispanic-Asian
130480.0,Female,16.0,Other Race,,US,,,,,5.0,1.13,Low,Back-Hispanic-Asian
130481.0,Male,5.0,Non-Hispanic White,,US,,,,,3.0,2.68,Middle,White
130482.0,Female,17.0,Non-Hispanic White,No,US,,,,,3.0,,High,White
130483.0,Male,27.0,Non-Hispanic White,No,US,,High school,Married/Living with partner,,3.0,1.14,Low,White
130484.0,Female,22.0,Non-Hispanic White,No,US,,College graduate,Never married,No,1.0,1.27,Low,White
130485.0,Male,76.0,Mexican American,No,Others,>20,High school,Widowed/Divorced/Separated,,1.0,1.29,Low,Back-Hispanic-Asian
130486.0,Male,22.0,Non-Hispanic White,No,US,,Some college,Never married,,4.0,0.44,Low,White
130487.0,Female,72.0,Non-Hispanic Black,No,US,,High school,Widowed/Divorced/Separated,,1.0,0.12,Low,Back-Hispanic-Asian
130488.0,Male,11.0,Non-Hispanic Black,,US,,,,,6.0,0.03,Low,Back-Hispanic-Asian
130489.0,Male,57.0,Other Hispanic,Yes,US,,9-11th grade,Married/Living with partner,,2.0,2.73,Middle,Back-Hispanic-Asian
130490.0,Female,4.0,Non-Hispanic Black,,US,,,,,4.0,1.15,Low,Back-Hispanic-Asian
130491.0,Female,69.0,Other Race,No,US,,Some college,Married/Living with partner,,2.0,0.79,Low,Back-Hispanic-Asian
130492.0,Female,18.0,Non-Hispanic White,No,US,,,,,6.0,2.98,Middle,White
130493.0,Female,72.0,Non-Hispanic White,No,US,,College graduate,Never married,,2.0,,High,White
130494.0,Female,73.0,Non-Hispanic White,No,US,,Some college,Married/Living with partner,,2.0,1.52,Low,White
130495.0,Male,60.0,Non-Hispanic White,Yes,US,,High school,Never married,,1.0,0.96,Low,White
130496.0,Male,40.0,Non-Hispanic White,No,US,,Some college,Never married,,4.0,5.0,High,White
130497.0,Male,74.0,Non-Hispanic White,Yes,US,,High school,Widowed/Divorced/Separated,,1.0,2.06,Middle,White
130498.0,Male,10.0,Other Hispanic,,Others,1-4,,,,4.0,0.41,Low,Back-Hispanic-Asian
130499.0,Male,14.0,Non-Hispanic White,,US,,,,,4.0,2.67,Middle,White
130500.0,Female,60.0,Non-Hispanic Black,No,US,,College graduate,Never married,,1.0,3.97,Middle,Back-Hispanic-Asian
130501.0,Male,8.0,Non-Hispanic Black,,Others,< 1,,,,3.0,2.82,Middle,Back-Hispanic-Asian
130502.0,Male,71.0,Non-Hispanic White,No,US,,College graduate,Married/Living with partner,,2.0,4.06,Middle,White
130503.0,Male,75.0,Non-Hispanic White,Yes,US,,College graduate,Married/Living with partner,,2.0,3.44,Middle,White
130504.0,Female,67.0,Other Race,No,US,,College graduate,Widowed/Divorced/Separated,,1.0,3.43,Middle,Back-Hispanic-Asian
130505.0,Male,59.0,Non-Hispanic White,Yes,US,,High school,Never married,,1.0,0.42,Low,White
130506.0,Female,22.0,Non-Hispanic Black,No,US,,Some college,Never married,No,1.0,2.43,Middle,Back-Hispanic-Asian
130507.0,Female,1.0,Non-Hispanic White,,US,,,,,4.0,1.7,Low,White
130508.0,Female,69.0,Non-Hispanic White,No,US,,High school,Married/Living with partner,,3.0,0.73,Low,White
130509.0,Female,51.0,Other Race,No,US,,Some college,Married/Living with partner,,4.0,5.0,High,Back-Hispanic-Asian
130510.0,Male,9.0,Non-Hispanic White,,US,,,,,6.0,2.09,Middle,White
130511.0,Male,5.0,Mexican American,,US,,,,,4.0,1.98,Low,Back-Hispanic-Asian
130512.0,Female,80.0,Non-Hispanic Black,No,US,,High school,Widowed/Divorced/Separated,,1.0,0.7,Low,Back-Hispanic-Asian
130513.0,Male,11.0,Non-Hispanic White,,US,,,,,5.0,5.0,High,White
130514.0,Female,15.0,Non-Hispanic White,,US,,,,,5.0,2.92,Middle,White
130515.0,Female,54.0,Other Hispanic,No,Others,>20,Some college,Married/Living with partner,,3.0,1.64,Low,Back-Hispanic-Asian
130516.0,Female,30.0,Non-Hispanic White,No,US,,Some college,Married/Living with partner,Cannot ascertain,3.0,0.65,Low,White
130517.0,Male,30.0,Non-Hispanic White,No,US,,Some college,Widowed/Divorced/Separated,,3.0,3.02,Middle,White
130518.0,Female,5.0,Non-Hispanic Black,,US,,,,,6.0,,High,Back-Hispanic-Asian
130519.0,Female,80.0,Non-Hispanic White,No,US,,High school,Married/Living with partner,,2.0,,High,White
130520.0,Male,29.0,Non-Hispanic Black,No,Others,>20,College graduate,Married/Living with partner,,2.0,5.0,High,Back-Hispanic-Asian
130521.0,Female,9.0,Other Hispanic,,US,,,,,3.0,0.91,Low,Back-Hispanic-Asian
130522.0,Male,58.0,Non-Hispanic White,No,US,,< 9th grade,Widowed/Divorced/Separated,,1.0,1.46,Low,White
130523.0,Female,61.0,Non-Hispanic White,No,US,,College graduate,Married/Living with partner,,2.0,5.0,High,White
130524.0,Male,14.0,Non-Hispanic White,,US,,,,,7.0,0.96,Low,White
130525.0,Male,70.0,Non-Hispanic White,No,Others,>20,College graduate,Married/Living with partner,,3.0,,High,White
130526.0,Female,15.0,Non-Hispanic White,,US,,,,,5.0,2.92,Middle,White
130527.0,Male,79.0,Non-Hispanic White,No,US,,College graduate,Married/Living with partner,,2.0,4.31,Middle,White
130528.0,Female,17.0,Non-Hispanic Black,No,US,,,,,4.0,,High,Back-Hispanic-Asian
130529.0,Male,6.0,Non-Hispanic White,,US,,,,,4.0,,High,White
130530.0,Female,69.0,Non-Hispanic White,No,US,,College graduate,Widowed/Divorced/Separated,,1.0,1.23,Low,White
130531.0,Female,11.0,Non-Hispanic Black,,US,,,,,4.0,0.05,Low,Back-Hispanic-Asian
130532.0,Male,10.0,Non-Hispanic Asian,,US,,,,,3.0,3.02,Middle,Back-Hispanic-Asian
130533.0,Male,80.0,Non-Hispanic White,No,US,,Some college,Widowed/Divorced/Separated,,4.0,4.71,Middle,White
130534.0,Male,10.0,Non-Hispanic White,,US,,,,,4.0,1.83,Low,White
130535.0,Female,7.0,Non-Hispanic Asian,,US,,,,,7.0,0.58,Low,Back-Hispanic-Asian
130536.0,Female,9.0,Other Hispanic,,US,,,,,4.0,1.13,Low,Back-Hispanic-Asian
130537.0,Male,62.0,Non-Hispanic White,No,US,,Some college,Married/Living with partner,,3.0,3.58,Middle,White
130538.0,Male,63.0,Non-Hispanic White,No,US,,College graduate,Married/Living with partner,,2.0,5.0,High,White
130539.0,Female,15.0,Non-Hispanic Asian,,US,,,,,3.0,5.0,High,Back-Hispanic-Asian
130540.0,Female,31.0,Other Race,No,US,,9-11th grade,Never married,No,2.0,0.86,Low,Back-Hispanic-Asian
130541.0,Female,30.0,Non-Hispanic White,No,Others,1-4,College graduate,Married/Living with partner,No,3.0,,High,White
130542.0,Female,17.0,Mexican American,No,US,,,,,3.0,0.87,Low,Back-Hispanic-Asian
130543.0,Male,14.0,Other Hispanic,,US,,,,,5.0,1.29,Low,Back-Hispanic-Asian
130544.0,Female,46.0,Non-Hispanic White,No,US,,College graduate,Widowed/Divorced/Separated,,2.0,4.02,Middle,White
130545.0,Male,32.0,Non-Hispanic Black,No,US,,High school,Never married,,1.0,,High,Back-Hispanic-Asian
130546.0,Male,24.0,Other Race,No,US,,9-11th grade,Never married,,4.0,,High,Back-Hispanic-Asian
130547.0,Male,78.0,Non-Hispanic White,Yes,US,,College graduate,Married/Living with partner,,2.0,5.0,High,White
130548.0,Male,5.397605346934028e-79,Non-Hispanic White,,US,,,,,4.0,5.0,High,White
130549.0,Male,43.0,Mexican American,No,Others,>20,< 9th grade,Never married,,3.0,2.33,Middle,Back-Hispanic-Asian
130550.0,Female,66.0,Non-Hispanic White,No,US,,College graduate,Married/Living with partner,,2.0,5.0,High,White
130551.0,Male,1.0,Other Race,,US,,,,,3.0,3.17,Middle,Back-Hispanic-Asian
130552.0,Female,54.0,Non-Hispanic Black,No,US,,9-11th grade,Never married,,1.0,0.92,Low,Back-Hispanic-Asian
130553.0,Female,28.0,Non-Hispanic Black,No,US,,Some college,Married/Living with partner,Cannot ascertain,4.0,5.0,High,Back-Hispanic-Asian
130554.0,Female,77.0,Non-Hispanic White,No,US,,High school,Widowed/Divorced/Separated,,1.0,,High,White
130555.0,Male,64.0,Non-Hispanic White,No,US,,College graduate,Married/Living with partner,,4.0,5.0,High,White
130556.0,Female,15.0,Non-Hispanic White,,US,,,,,3.0,1.57,Low,White
130557.0,Male,62.0,Non-Hispanic White,No,US,,Some college,Widowed/Divorced/Separated,,1.0,3.57,Middle,White
130558.0,Male,69.0,Non-Hispanic White,Yes,US,,Some college,Widowed/Divorced/Separated,,1.0,0.92,Low,White
130559.0,Male,66.0,Non-Hispanic White,No,US,,College graduate,Married/Living with partner,,2.0,5.0,High,White
130560.0,Female,41.0,Other Hispanic,No,Others,>20,Some college,Married/Living with partner,Cannot ascertain,4.0,2.52,Middle,Back-Hispanic-Asian
130561.0,Female,8.0,Other Race,,US,,,,,7.0,1.85,Low,Back-Hispanic-Asian
130562.0,Female,63.0,Mexican American,No,Others,Dont Know,< 9th grade,Married/Living with partner,,2.0,0.51,Low,Back-Hispanic-Asian
130563.0,Male,78.0,Other Hispanic,Yes,Others,>20,College graduate,Married/Living with partner,,2.0,4.62,Middle,Back-Hispanic-Asian
130564.0,Male,2.0,Other Hispanic,,US,,,,,7.0,0.43,Low,Back-Hispanic-Asian
130565.0,Female,3.0,Other Race,,US,,,,,4.0,,High,Back-Hispanic-Asian
130566.0,Male,66.0,Non-Hispanic White,No,US,,College graduate,Never married,,1.0,0.07,Low,White
130567.0,Female,39.0,Non-Hispanic White,No,US,,Some college,Married/Living with partner,Cannot ascertain,3.0,1.82,Low,White
130568.0,Female,80.0,Other Hispanic,No,US,,College graduate,Widowed/Divorced/Separated,,1.0,1.94,Low,Back-Hispanic-Asian
130569.0,Female,47.0,Mexican American,No,Others,5-9,9-11th grade,Married/Living with partner,,4.0,1.41,Low,Back-Hispanic-Asian
130570.0,Male,56.0,Other Hispanic,No,Others,>20,9-11th grade,Married/Living with partner,,2.0,1.2,Low,Back-Hispanic-Asian
130571.0,Female,77.0,Non-Hispanic White,No,US,,Some college,Married/Living with partner,,2.0,,High,White
130572.0,Male,24.0,Other Race,No,Others,10-14,High school,Married/Living with partner,,1.0,1.79,Low,Back-Hispanic-Asian
130573.0,Female,65.0,Non-Hispanic Asian,No,Others,10-14,9-11th grade,Widowed/Divorced/Separated,,6.0,3.97,Middle,Back-Hispanic-Asian
130574.0,Female,20.0,Mexican American,No,US,,High school,Never married,No,5.0,,High,Back-Hispanic-Asian
130575.0,Male,15.0,Non-Hispanic Asian,,Others,10-14,,,,7.0,,High,Back-Hispanic-Asian
130576.0,Male,50.0,Other Hispanic,No,Others,10-14,Some college,Never married,,1.0,0.18,Low,Back-Hispanic-Asian
130577.0,Female,61.0,Non-Hispanic Black,No,US,,9-11th grade,Never married,,1.0,1.66,Low,Back-Hispanic-Asian
130578.0,Female,51.0,Non-Hispanic Black,No,US,,High school,Widowed/Divorced/Separated,,1.0,3.24,Middle,Back-Hispanic-Asian
130579.0,Male,80.0,Non-Hispanic White,No,US,,College graduate,Married/Living with partner,,2.0,5.0,High,White
130580.0,Male,51.0,Other Hispanic,No,Others,< 1,9-11th grade,Widowed/Divorced/Separated,,2.0,,High,Back-Hispanic-Asian
130581.0,Male,1.0,Other Hispanic,,US,,,,,3.0,0.3,Low,Back-Hispanic-Asian
130582.0,Male,32.0,Other Race,No,US,,College graduate,Married/Living with partner,,4.0,2.16,Middle,Back-Hispanic-Asian
130583.0,Female,2.0,Non-Hispanic White,,US,,,,,7.0,1.91,Low,White
130584.0,Male,11.0,Other Hispanic,,US,,,,,4.0,2.88,Middle,Back-Hispanic-Asian
130585.0,Male,60.0,Non-Hispanic Black,No,Others,Dont Know,College graduate,Widowed/Divorced/Separated,,3.0,2.61,Middle,Back-Hispanic-Asian
130586.0,Female,8.0,Non-Hispanic Asian,,US,,,,,4.0,1.37,Low,Back-Hispanic-Asian
130587.0,Female,18.0,Mexican American,No,US,,,,,7.0,1.72,Low,Back-Hispanic-Asian
130588.0,Female,32.0,Non-Hispanic Black,No,Others,1-4,College graduate,Married/Living with partner,No,3.0,2.61,Middle,Back-Hispanic-Asian
130589.0,Male,58.0,Non-Hispanic Black,No,US,,High school,Widowed/Divorced/Separated,,1.0,0.69,Low,Back-Hispanic-Asian
130590.0,Female,51.0,Non-Hispanic White,Yes,US,,College graduate,Married/Living with partner,,5.0,4.08,Middle,White
130591.0,Male,16.0,Non-Hispanic Black,,US,,,,,5.0,,High,Back-Hispanic-Asian
130592.0,Female,62.0,Non-Hispanic White,No,US,,College graduate,Married/Living with partner,,2.0,5.0,High,White
130593.0,Male,79.0,Non-Hispanic White,No,US,,9-11th grade,Never married,,2.0,2.41,Middle,White
130594.0,Female,12.0,Non-Hispanic Black,,US,,,,,3.0,1.13,Low,Back-Hispanic-Asian
130595.0,Male,25.0,Non-Hispanic Black,No,US,,High school,Never married,,1.0,,High,Back-Hispanic-Asian
130596.0,Female,66.0,Other Hispanic,No,Others,1-4,Some college,Married/Living with partner,,4.0,,High,Back-Hispanic-Asian
130597.0,Female,57.0,Non-Hispanic Black,No,US,,Some college,Widowed/Divorced/Separated,,1.0,2.17,Middle,Back-Hispanic-Asian
130598.0,Male,60.0,Non-Hispanic White,No,US,,High school,Widowed/Divorced/Separated,,3.0,5.0,High,White
130599.0,Female,54.0,Other Hispanic,No,Others,>20,< 9th grade,Married/Living with partner,,3.0,2.17,Middle,Back-Hispanic-Asian
130600.0,Male,42.0,Non-Hispanic Black,No,US,,9-11th grade,Never married,,4.0,0.57,Low,Back-Hispanic-Asian
130601.0,Female,56.0,Non-Hispanic White,No,US,,High school,Married/Living with partner,,2.0,4.54,Middle,White
130602.0,Female,7.0,Non-Hispanic Asian,,US,,,,,4.0,5.0,High,Back-Hispanic-Asian
130603.0,Male,75.0,Non-Hispanic White,Yes,US,,9-11th grade,Married/Living with partner,,4.0,4.17,Middle,White
130604.0,Female,61.0,Non-Hispanic White,No,US,,Some college,Widowed/Divorced/Separated,,6.0,2.31,Middle,White
130605.0,Female,1.0,Non-Hispanic White,,US,,,,,7.0,1.97,Low,White
130606.0,Female,29.0,Non-Hispanic White,No,US,,High school,Married/Living with partner,No,4.0,4.68,Middle,White
130607.0,Female,36.0,Mexican American,No,Others,10-14,Some college,Married/Living with partner,No,5.0,0.61,Low,Back-Hispanic-Asian
130608.0,Male,5.0,Mexican American,,US,,,,,4.0,1.71,Low,Back-Hispanic-Asian
130609.0,Female,40.0,Other Hispanic,No,US,,College graduate,Married/Living with partner,No,2.0,,High,Back-Hispanic-Asian
130610.0,Male,22.0,Non-Hispanic White,No,US,,College graduate,Never married,,1.0,,High,White
130611.0,Female,70.0,Non-Hispanic White,No,US,,College graduate,Married/Living with partner,,2.0,,High,White
130612.0,Male,52.0,Other Race,No,Others,1-4,College graduate,Widowed/Divorced/Separated,,2.0,2.18,Middle,Back-Hispanic-Asian
130613.0,Female,13.0,Non-Hispanic White,,US,,,,,2.0,,High,White
130614.0,Male,8.0,Non-Hispanic White,,US,,,,,5.0,,High,White
130615.0,Female,16.0,Mexican American,,US,,,,,3.0,0.69,Low,Back-Hispanic-Asian
130616.0,Male,43.0,Non-Hispanic White,No,US,,College graduate,Never married,,1.0,5.0,High,White
130617.0,Female,36.0,Non-Hispanic White,No,US,,College graduate,Married/Living with partner,No,2.0,5.0,High,White
130618.0,Male,48.0,Non-Hispanic White,No,US,,College graduate,Married/Living with partner,,4.0,5.0,High,White
130619.0,Male,27.0,Other Race,No,US,,High school,Never married,,3.0,0.87,Low,Back-Hispanic-Asian
130620.0,Male,76.0,Non-Hispanic Black,No,US,,Some college,Never married,,1.0,1.84,Low,Back-Hispanic-Asian
130621.0,Male,68.0,Non-Hispanic White,No,US,,College graduate,Married/Living with partner,,2.0,5.0,High,White
130622.0,Female,12.0,Non-Hispanic White,,US,,,,,5.0,1.49,Low,White
130623.0,Female,46.0,Non-Hispanic White,No,US,,College graduate,Married/Living with partner,,5.0,3.7,Middle,White
130624.0,Male,5.0,Non-Hispanic Black,,US,,,,,6.0,0.93,Low,Back-Hispanic-Asian
130625.0,Male,13.0,Non-Hispanic White,,US,,,,,5.0,2.85,Middle,White
