Variable Name,SAS Label,English Text,Target,English Instructions,Hard Edits
LBDTHGSI,"Blood mercury, total (nmol/L)","Blood mercury, total (nmol/L)",Both males and females 1 YEARS - 150 YEARS,,
LBDTHGLC,"Blood mercury, total comment code","Blood mercury, total comment code",Both males and females 1 YEARS - 150 YEARS,,
LBXBSE,Blood selenium (ug/L),Blood selenium(ug/L),Both males and females 1 YEARS - 150 YEARS,,
LBDBSESI,Blood selenium (umol/L),Blood selenium (umol/L),Both males and females 1 YEARS - 150 YEARS,,
LBDBSELC,Blood selenium comment code,Blood selenium comment code,Both males and females 1 YEARS - 150 YEARS,,
LBXBMN,Blood manganese (ug/L),Blood manganese (ug/L),Both males and females 1 YEARS - 150 YEARS,,
LBDBMNSI,Blood manganese (nmol/L),Blood manganese (nmol/L),Both males and females 1 YEARS - 150 YEARS,,
LBDBMNLC,Blood manganese comment code,Blood manganese comment code,Both males and females 1 YEARS - 150 YEARS,,
SEQN,Respondent sequence number,Respondent sequence number.,Both males and females 1 YEARS - 150 YEARS,,
WTPH2YR,Phlebotomy 2 Year Weight,Phlebotomy 2 Year Weight,Both males and females 1 YEARS - 150 YEARS,,
LBXIHG,"Mercury, inorganic (ug/L)","Inorganic mercury, blood (ug/L)",Both males and females 1 YEARS - 150 YEARS,,
LBDIHGSI,"Mercury, inorganic (nmol/L)","Mercury, inorganic (nmol/L)",Both males and females 1 YEARS - 150 YEARS,,
LBDIHGLC,"Mercury, inorganic comment code","Mercury, inorganic comment code",Both males and females 1 YEARS - 150 YEARS,,
LBXBGE,"Mercury, ethyl (ug/L)","Mercury, ethyl (ug/L)",Both males and females 1 YEARS - 150 YEARS,,
LBDBGESI,"Mercury, ethyl (nmol/L)","Mercury, ethyl (nmol/L)",Both males and females 1 YEARS - 150 YEARS,,
LBDBGELC,"Mercury, ethyl comment code","Mercury, ethyl comment code",Both males and females 1 YEARS - 150 YEARS,,
LBXBGM,"Mercury, methyl (ug/L)","Mercury, methyl (ug/L)",Both males and females 1 YEARS - 150 YEARS,,
LBDBGMSI,"Mercury, methyl (nmol/L)","Mercury, methyl (nmol/L)",Both males and females 1 YEARS - 150 YEARS,,
LBDBGMLC,"Mercury, methyl comment code","Mercury, methyl comment code",Both males and females 1 YEARS - 150 YEARS,,
SEQN,Respondent sequence number,Respondent sequence number,Both males and females 12 YEARS - 150 YEARS,,
WTSAF2YR,Fasting Subsample 2 Year MEC Weight,Fasting Subsample 2 Year MEC Weight,Both males and females 12 YEARS - 150 YEARS,,
LBXGLU,Fasting Glucose (mg/dL),Fasting Glucose (mg/dL),Both males and females 12 YEARS - 150 YEARS,,
LBDGLUSI,Fasting Glucose (mmol/L),Fasting Glucose (mmol/L),Both males and females 12 YEARS - 150 YEARS,,
SEQN,Respondent sequence number,Respondent sequence number,Both males and females 1 YEARS - 150 YEARS,,
LBDFOTSI,Serum total folate (nmol/L),Serum total folate (nmol/L),Both males and females 1 YEARS - 150 YEARS,,
LBDFOT,Serum total folate (ng/mL),Serum total folate (ng/mL),Both males and females 1 YEARS - 150 YEARS,,
LBXSF1SI,5-Methyl-tetrahydrofolate (nmol/L),5-Methyl-tetrahydrofolate (nmol/L),Both males and females 1 YEARS - 150 YEARS,,
LBDSF1LC,5-Methyl-tetrahydrofolate cmt,5-Methyl-tetrahydrofolic comment code,Both males and females 1 YEARS - 150 YEARS,,
LBXSF2SI,Folic acid (nmol/L),Folic acid (nmol/L),Both males and females 1 YEARS - 150 YEARS,,
LBDSF2LC,Folic acid cmt,Folic acid comment code,Both males and females 1 YEARS - 150 YEARS,,
LBXSF3SI,5-Formyl-tetrahydrofolate (nmol/L),5-Formyl-tetrahydrofolate (nmol/L),Both males and females 1 YEARS - 150 YEARS,,
LBDSF3LC,5-Formyl-tetrahydrofolate cmt,5-Formyl-tetrahydrofolate comment code,Both males and females 1 YEARS - 150 YEARS,,
LBXSF4SI,Tetrahydrofolate (nmol/L),Tetrahydrofolate (nmol/L),Both males and females 1 YEARS - 150 YEARS,,
LBDSF4LC,Tetrahydrofolate cmt,Tetrahydrofolate comment code,Both males and females 1 YEARS - 150 YEARS,,
LBXSF5SI,"5,10-Methenyl-tetrahydrofolate (nmol/L)","5,10-Methenyl-tetrahydrofolate (nmol/L)",Both males and females 1 YEARS - 150 YEARS,,
LBDSF5LC,"5,10-Methenyl-tetrahydrofolate cmt","5,10-Methenyl-tetrahydrofolate comment code",Both males and females 1 YEARS - 150 YEARS,,
LBXSF6SI,Mefox oxidation product (nmol/L),Mefox oxidation product (nmol/L),Both males and females 1 YEARS - 150 YEARS,,
LBDSF6LC,Mefox oxidation product cmt,Mefox oxidation product comment code,Both males and females 1 YEARS - 150 YEARS,,
SEQN,Respondent sequence number,Respondent sequence number.,Both males and females 3 YEARS - 150 YEARS,,
WTPH2YR,Phlebotomy 2 Year Weight,Phlebotomy 2 Year Weight,Both males and females 3 YEARS - 150 YEARS,,
LBX17H,17α-hydroxyprogesterone (ng/dL),17α-hydroxyprogesterone (ng/dL),Both males and females 3 YEARS - 150 YEARS,,
LBD17HSI,17α-hydroxyprogesterone (nmol/L),17α-hydroxyprogesterone (nmol/L),Both males and females 3 YEARS - 150 YEARS,,
LBD17HLC,17α-hydroxyprogesterone Comment Code,17α-hydroxyprogesterone Comment Code,Both males and females 3 YEARS - 150 YEARS,,
LBXAND,Androstenedione (ng/dL),Androstenedione (ng/dL),Both males and females 3 YEARS - 150 YEARS,,
LBDANDSI,Androstenedione (nmol/L),Androstenedione (nmol/L),Both males and females 3 YEARS - 150 YEARS,,
LBDANDLC,Androstenedione Comment Code,Androstenedione Comment Code,Both males and females 3 YEARS - 150 YEARS,,
LBXAMH,Anti-Mullerian hormone (ng/mL),Anti-Mullerian hormone (ng/mL),Both males and females 6 YEARS - 150 YEARS,,
LBDAMHSI,Anti-Mullerian hormone (pmol/L),Anti-Mullerian hormone (pmol/L),Both males and females 6 YEARS - 150 YEARS,,
LBDAMHLC,Anti-Mullerian hormone Comment Code,Anti-Mullerian hormone Comment Code,Both males and females 6 YEARS - 150 YEARS,,
LBXDHE,DHEAS (µg/dL),Dehydroepiandrosterone sulfate (µg/dL),Both males and females 3 YEARS - 150 YEARS,,
LBDDHESI,DHEAS (µmol/L),Dehydroepiandrosterone sulfate (µmol/L),Both males and females 3 YEARS - 150 YEARS,,
LBDDHELC,DHEAS Comment Code,Dehydroepiandrosterone sulfate Comment Code,Both males and females 3 YEARS - 150 YEARS,,
LBXEST,Estradiol (pg/mL),Estradiol (pg/mL),Both males and females 3 YEARS - 150 YEARS,,
LBDESTSI,Estradiol (pmol/L),Estradiol (pmol/L),Both males and females 3 YEARS - 150 YEARS,,
LBDESTLC,Estradiol Comment Code,Estradiol Comment Code,Both males and females 3 YEARS - 150 YEARS,,
LBXESO,Estrone (ng/dL),Estrone (ng/dL),Both males and females 3 YEARS - 150 YEARS,,
LBDESOSI,Estrone (pmol/L),Estrone (pmol/L),Both males and females 3 YEARS - 150 YEARS,,
LBDESOLC,Estrone Comment Code,Estrone Comment Code,Both males and females 3 YEARS - 150 YEARS,,
LBXES1,Estrone Sulfate (pg/mL),Estrone Sulfate (pg/mL),Both males and females 3 YEARS - 150 YEARS,,
LBDES1SI,Estrone Sulfate (pmol/L),Estrone Sulfate (pmol/L),Both males and females 3 YEARS - 150 YEARS,,
LBDES1LC,Estrone Sulfate Comment Code,Estrone Sulfate Comment Code,Both males and females 3 YEARS - 150 YEARS,,
LBXFSH,Follicle Stimulating Hormone (mIU/mL),Follicle Stimulating Hormone (mIU/mL),Both males and females 6 YEARS - 150 YEARS,,
LBDFSHLC,FSH Comment Code,Follicle Stimulating Hormone Comment Code,Both males and females 6 YEARS - 150 YEARS,,
LBXLUH,Luteinizing Hormone (mIU/mL),Luteinizing Hormone (mIU/mL),Both males and females 6 YEARS - 150 YEARS,,
LBDLUHLC,Luteinizing Hormone Comment Code,Luteinizing Hormone Comment Code,Both males and females 6 YEARS - 150 YEARS,,
LBXPG4,Progesterone (ng/dL),Progesterone (ng/dL),Both males and females 3 YEARS - 150 YEARS,,
LBDPG4SI,Progesterone (nmol/L),Progesterone (nmol/L),Both males and females 3 YEARS - 150 YEARS,,
LBDPG4LC,Progesterone Comment Code,Progesterone Comment Code,Both males and females 3 YEARS - 150 YEARS,,
LBXSHBG,SHBG (nmol/L),"Sex Hormone Binding Globulin (SHBG, nmol/L)",Both males and females 3 YEARS - 150 YEARS,,
LBDSHGLC,SHBG Comment Code,Sex Hormone Binding Globulin Comment Code,Both males and females 3 YEARS - 150 YEARS,,
LBXTST,"Testosterone, total (ng/dL)","Testosterone, total (ng/dL)",Both males and females 3 YEARS - 150 YEARS,,
LBDTSTSI,"Testosterone, total (nmol/L)","Testosterone, total (nmol/L)",Both males and females 3 YEARS - 150 YEARS,,
LBDTSTLC,Testosterone comment code,Testosterone comment code,Both males and females 3 YEARS - 150 YEARS,,
SEQN,Respondent sequence number,Respondent sequence number.,Females only 12 YEARS - 49 YEARS,,
WTPH2YR,Phlebotomy 2 Year Weight,Phlebotomy 2 MEC Weight,Females only 12 YEARS - 49 YEARS,,
LBXTFR,Transferrin receptor (mg/L),Transferrin receptor (mg/L),Females only 12 YEARS - 49 YEARS,,
LBDTFRSI,Transferrin receptor (nmol/L),Transferrin receptor (nmol/L),Females only 12 YEARS - 49 YEARS,,
SEQN,Respondent sequence number,Respondent sequence number.,Females only 20 YEARS - 44 YEARS,,
URXPREG,Urine Pregnancy Result,Urine Pregnancy Result,Females only 20 YEARS - 44 YEARS,,
SEQN,Respondent sequence number,Respondent sequence number.,Both males and females 1 YEARS - 150 YEARS,,
WTPH2YR,Phlebotomy 2 Year Weight,Phlebotomy 2 Year Weight,Both males and females 1 YEARS - 150 YEARS,,
LBXVIDMS,25OHD2+25OHD3 (nmol/L),25-hydroxyvitamin D2 + D3,Both males and females 1 YEARS - 150 YEARS,,
LBDVIDLC,25OHD2+25OHD3 comment code,25-hydroxyvitamin D2 + D3 comment code,Both males and females 1 YEARS - 150 YEARS,,
LBXVD2MS,25OHD2 (nmol/L),25-hydroxyvitamin D2 (nmol/L),Both males and females 1 YEARS - 150 YEARS,,
LBDVD2LC,25OHD2 comment code,25-hydroxyvitamin D2 comment code,Both males and females 1 YEARS - 150 YEARS,,
LBXVD3MS,25OHD3 (nmol/L),25-hydroxyvitamin D3 (nmol/L),Both males and females 1 YEARS - 150 YEARS,,
LBDVD3LC,25OHD3 comment code,25-hydroxyvitamin D3 comment code,Both males and females 1 YEARS - 150 YEARS,,
LBXVE3MS,epi-25OHD3 (nmol/L),epi-25-hydroxyvitamin D3 (nmol/L),Both males and females 1 YEARS - 150 YEARS,,
LBDVE3LC,epi-25OHD3 comment code,epi-25-hydroxyvitamin D3 comment code,Both males and females 1 YEARS - 150 YEARS,,
